job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
35,1,107845000,7447,shufflenet_v2_x1_0,128,5794000,535000,798,706,59,0,0
45,1,274404000,176,resnet18,128,132000,25000,779,711,110,0,0
46,1,275116000,58,resnet18,128,44000,409000,779,711,110,0,1
53,4,278991000,1524,a2c,64,828000,10000,533,502,10,0.3,1
64,8,516916000,4472,vgg19,16,881000,30000,226,82,88,60,0
102,4,556052000,7040,dqn,128,36119000,1000,505,440,8,0.4,1
160,1,707825000,80,a2c,64,43000,195000,517,514,14,0,0
161,1,708079000,160,resnet18,128,120000,172000,779,711,110,0,0
243,2,898299000,5245,vgg19,16,1091000,178000,205,115,83,41,1
244,2,898319000,1900,dqn,128,960000,20000,495,441,8,0.6,1
245,2,898338000,1627,a2c,64,879000,19000,525,504,14,0.5,1
255,2,944896000,734,dqn,128,371000,336000,495,441,8,0.6,1
256,1,945622000,174,vgg16,16,23000,101000,107,117,68,0,0
257,1,945711000,57,resnet18,128,43000,19000,779,711,110,0,0
258,1,945743000,44,shufflenet_v2_x1_0,128,35000,32000,798,706,59,0,0
259,1,945766000,37,a2c,64,20000,23000,517,514,14,0,1
260,2,962787000,76,vgg19,16,16000,284000,205,115,83,41,1
309,1,1502090000,3168,vgg16,16,41827000,35000,107,117,68,0,0
311,1,1517413000,5472,vgg16,16,72243000,106000,107,117,68,0,0
324,2,1625098000,20,shufflenet_v2_x1_0,128,19000,13000,850,747,58,18,0
363,1,1910006000,1468,resnet18,128,10996000,17000,779,711,110,0,1
374,1,2006980000,2738,resnet18,128,20508000,73000,779,711,110,0,0

